DateTime,WaterLevel,WaterElevation,SaturatedThickness
1/31/2002,133.143871,2766.876667,57.37666667
2/28/2002,133.1307143,2766.913333,57.41333333
3/31/2002,132.9864516,2767.003333,57.50333333
4/30/2002,132.88,2767.1,57.6
5/31/2002,132.8992857,2767.093333,57.59333333
6/30/2002,132.8643333,2767.091667,57.59166667
7/31/2002,133.1119355,2766.848333,57.34833333
8/31/2002,133.4174194,2766.635,57.135
9/30/2002,133.204,2766.753333,57.25333333
10/31/2002,133.0774194,2766.921667,57.42166667
11/30/2002,132.9785714,2767.07,57.57
12/31/2002,132.8474194,2767.044,57.544
1/31/2003,132.7783871,2767.228333,57.72833333
2/28/2003,132.6453571,2767.256667,57.75666667
3/31/2003,132.5841935,2767.395,57.895
4/30/2003,132.5343333,2767.554286,58.05428571
5/31/2003,132.4945161,2767.486667,57.98666667
6/30/2003,132.4108333,2767.588333,58.08833333
7/31/2003,132.3619355,2767.625,58.125
8/31/2003,132.4009677,2767.55,58.05
9/30/2003,132.3020833,2767.65,58.15
10/31/2003,132.25,2767.79,58.29
11/30/2003,132.2666667,2767.866667,58.36666667
12/31/2003,132.1866667,2767.943333,58.44333333
1/31/2004,132.1448387,2767.678571,58.17857143
2/29/2004,132.5313793,2767.535714,58.03571429
3/31/2004,132.2819355,2767.73,58.23
4/30/2004,132.128,2767.905,58.405
5/31/2004,132.0845161,2767.931667,58.43166667
6/30/2004,132.245,2767.786667,58.28666667
7/31/2004,132.1687097,2767.825,58.325
8/31/2004,132.1132258,2767.876667,58.37666667
9/30/2004,132.0693333,2767.971667,58.47166667
10/31/2004,132.0135484,2767.988333,58.48833333
11/30/2004,132.015,2767.928333,58.42833333
12/31/2004,131.9770968,2768.094,58.594
1/31/2005,131.9241935,2768.421429,58.92142857
2/28/2005,131.8664286,2768.111667,58.61166667
3/31/2005,131.7835714,2768.188333,58.68833333
4/30/2005,131.7673333,2768.285,58.785
5/31/2005,131.6948387,2768.296667,58.79666667
6/30/2005,131.7003333,2768.215,58.715
7/31/2005,132.1607143,2768.07,58.57
8/31/2005,131.82875,2768.122,58.622
9/30/2005,131.8033333,2768.226667,58.72666667
10/31/2005,131.7687097,2768.27,58.77
11/30/2005,131.716,2768.246667,58.74666667
12/31/2005,131.7080645,2768.234,58.734
1/31/2006,131.6101478,2768.401667,58.90166667
2/28/2006,131.5706707,2768.453333,58.95333333
3/31/2006,131.9375,2767.496667,57.99666667
4/30/2006,133.5599029,2766.54,57.04
5/31/2006,133.6373253,2766.453333,56.95333333
6/30/2006,134.4333194,2765.85,56.35
7/31/2006,134.7410621,2765.332,55.832
8/31/2006,134.4404412,2765.616667,56.11666667
9/30/2006,134.3861842,2765.56,56.06
10/31/2006,134.2153623,2765.815,56.315
11/30/2006,134.1379167,2765.6525,56.1525
12/31/2006,134.0945455,2766.02,56.52
1/31/2007,134.0314216,2765.8975,56.3975
2/28/2007,133.9115278,2766.685,57.185
3/31/2007,133.8719499,2766.055,56.555
4/30/2007,133.8059545,2766.2675,56.7675
5/31/2007,133.6969737,2767.25375,57.75375
